Standar,SubStandar,Item,Uraian,Bobot,PIC,Item Preseden/Referensi,Progress
1,,,DED - Identitas Pengusul,1.3333333,AM,,0
2,,,DED - Identitas Tim Penyusun DED,1.3333333,LMS,,0
3,,,DED - Kata Pengantar,1.3333333,PS,,0
4,,,DED - Ringkasan Eksekutif,1.3333333,NAR,,0
5,,,DED - Continuous Improvement,1.3333333,FI,,0
6,,,DED - 1. Pendahuluan,2.6666667,SDC,,0
,6.1,,DED - A. Dasar Penyusunan,33,"SDC, MRI, IKS",,0
,6.2,,DED - B. Tim Penyusun dan Tanggungjawabnya,33,"SDC, MRI, IKS",,0
,6.3,,DED - C. Mekanisme Kerja Penyusunan Evaluasi Diri,34,"SDC, MRI, IKS",,0
7,,,DED - 2. A Profil Unit Pengelola Program Studi,2.6666667,"LRN, SYN",,0
8,,,DED - 2. B1. Orientasi Strategis,6.6666667,MSS,,0
,8.1,,DED - a Misi,25,"MSS, NGM, SDC, PS, GAH",,0
,8.2,,DED - b. Visi,25,"MSS, NGM, SDC, PS, GAH",,0
,8.3,,DED - c. Tujuan dan Sasaran,25,"MSS, NGM, SDC, PS, GAH",,0
,8.4,,DED - d. Strategi,25,"MSS, NGM, SDC, PS, GAH",,0
9,,,DED - 2. B2. Tata Pamong dan Tata Kelola,6.666666667,LAM,,0
,9.1,,DED - a. Tata Pamong,50,"LAM, UN, LRN",,0
,9.2,,DED - b. Tata Kelola,50,"LAM, UN, LRN",,0
10,,,DED - 2. B3. Pengelolaan Mahasiswa,6.666666667,MRI,,0
,10.1,,DED - a. Penerimaan Mahasiswa,20,"MRI, HA, UN",,0
,10.2,,DED - b. Layanan Akademik Mahasiswa,20,"MRI, HA, UN",,0
,10.3,,DED - c. Kinerja Akademik Mahasiswa,20,"MRI, HA, UN",,0
,10.4,,DED - d. Kesejahteraan Mahasiswa,20,"MRI, HA, NAR",,0
,10.5,,DED - e. Pengembangan Karir Mahasiswa,20,"MRI, HA, NAR",,0
11,,,DED - 2. B4. Pengelolaan Dosen dan Tenaga Kependidikan,4,NAR,,0
,11.1,,DED - a. Dosen,16.66666667,"NAR, NGM, IKS, AM",,0
