Standar,SubStandar,Item,Uraian,Bobot,PIC,Item Preseden/Referensi,Progress
Kata pengantar,,,,0,,
Daftar Isi,,,,0,,
BAB I,,,TINDAK LANJUT REKOMENDASI ASESOR,25,
BAB I,1.1,,Tindak Lanjut Rekomendasi Asesor
BAB II,,,KEMAJUAN IMPLEMENTASI STRATEGIS,30,,
BAB II,2.1,,Kemajuan Implementasi Strategi
BAB III,,,EVALUASI KINERJA PROGRAM STUDI,45,,
BAB III,3.1,,JAMINAN PEMBELAJARAN
BAB III,3.1,3.1.1 ,Jaminan Pembelajaran
BAB III,3.2,,Kecukupan Dan Kualifikasi Dosen 
BAB III,3.2,3.2.1 ,Profil Dosen Berdasarkan Status Kepegawaian
BAB III,3.2,3.2.2,Petunjuk Pengisian Tabel Profil Dosen Berdasarkan Status Kepegawaian
BAB III,3.2,3.2.3 ,Profil Dosen Berdasarkan Latar Belakang Keahlian
BAB III,3.2,3.2.4,Petunjuk Pengisian Tabel Profil Dosen Berdasarkan Latar Belakang Keahlian
BAB III,3.2,3.2.5,Profil Dosen Berdasarkan Kontribusi Intelektual
BAB III,3.2,3.2.6,Profil Dosen Berdasarkan Kontribusi Intelektual (lanjutan)
BAB III,3.2,3.2.7,Petunjuk Pengisian Tabel Profil Dosen Berdasarkan Kontribusi Intelektual
BAB III,3.2,3.2.8,Ekivalensi Waktu Mengajar Penuh (EWMP)
BAB III,3.2,3.2.9,Petunjuk Pengisian Ekivalensi Waktu Mengajar Penuh (EWMP)
BAB III,3.3,,LUARAN DAN CAPAIAN TRIDHARMA
BAB III,3.3,3.3.1,Tabel Luaran Penelitian/PkM yang Dihasilkan oleh Dosen
BAB III,3.3,3.3.2,Tabel Luaran Penelitian/PkM yang Dihasilkan oleh Dosen (lanjutan)
BAB III,3.3,3.3.3,Tabel Luaran Penelitian/PkM yang Dihasilkan oleh Dosen (lanjutan)
BAB III,3.3,3.3.4.,Petunjuk Pengisian Tabel Luaran Penelitian/PkM yang Dihasilkan oleh Dosen 
BAB III,3.3,3.3.5 ,Tabel Sitasi Dosen
BAB III,3.3,3.3.6,Petunjuk Pengisian Tabel Sitasi Dosen
BAB III,3.3,3.3.7,Tabel Luaran yang Dihasilkan Mahasiswa
BAB III,3.3,3.3.8,Petunjuk Pengisian Tabel Luaran yang Dihasilkan Mahasiswa
BAB III,3.3,3.3.9,Petunjuk Pengisian Tabel Luaran yang Dihasilkan Mahasiswa
BAB III,3.3,3.3.10,Petunjuk Pengisian Tabel Jumlah Mahasiswa Aktif
