Standar,SubStandar,Item,Uraian,Bobot,PIC,Item Preseden/Referensi,Progress
Kata pengantar,,,,3,,,0
Daftar Isi,,,,3,,,0
BAB I,,,TINDAK LANJUT REKOMENDASI ASESOR,25,"Bob Smith, Alice Johnson",,0
,1.1,,Tindak Lanjut Rekomendasi Asesor,0,,,50
BAB II,,,KEMAJUAN IMPLEMENTASI STRATEGIS,24,Alice Johnson,,0
,2.1,,Kemajuan Implementasi Strategi,0,,,0
BAB III,,,EVALUASI KINERJA PROGRAM STUDI,45,,,0
,3.1,,JAMINAN PEMBELAJARAN,40,,,0
,3.1,3.1.1,Jaminan Pembelajaran,0,Steven Spielberg,,0
,3.2,,Kecukupan Dan Kualifikasi Dosen,40,,,0
,3.2,3.2.1,Profil Dosen Berdasarkan Status Kepegawaian,0,,,0
,3.2,3.2.2,Petunjuk Pengisian Tabel Profil Dosen Berdasarkan Status Kepegawaian,0,,,0
,3.2,3.2.3,Profil Dosen Berdasarkan Latar Belakang Keahlian,0,,,0
,3.2,3.2.4,Petunjuk Pengisian Tabel Profil Dosen Berdasarkan Latar Belakang Keahlian,0,,,0
,3.2,3.2.5,Profil Dosen Berdasarkan Kontribusi Intelektual,0,,,0
,3.2,3.2.6,Profil Dosen Berdasarkan Kontribusi Intelektual (lanjutan),0,,,0
,3.2,3.2.7,Petunjuk Pengisian Tabel Profil Dosen Berdasarkan Kontribusi Intelektual,0,,,0
,3.2,3.2.8,Ekivalensi Waktu Mengajar Penuh (EWMP),0,,,0
,3.2,3.2.9,Petunjuk Pengisian Ekivalensi Waktu Mengajar Penuh (EWMP),0,,,0
,3.3,,LUARAN DAN CAPAIAN TRIDHARMA,20,,,0
,3.3,3.3.1,Tabel Luaran Penelitian/PkM yang Dihasilkan oleh Dosen,5,Chris Nolan,3.2.2: Petunjuk Pengisian Tabel Profil Dosen Berdasarkan Status Kepegawaian,0
,3.3,3.3.2,Tabel Luaran Penelitian/PkM yang Dihasilkan oleh Dosen (lanjutan),5,Martin Scorsese,,0
,3.3,3.3.3,Tabel Luaran Penelitian/PkM yang Dihasilkan oleh Dosen (lanjutan),5,"Chris Nolan, Tom Hanks",,75
,3.3,3.3.4.,Petunjuk Pengisian Tabel Luaran Penelitian/PkM yang Dihasilkan oleh Dosen,15,Daniel Craig,,0
,3.3,3.3.5,Tabel Sitasi Dosen,15,Steven Spielberg,,0
,3.3,3.3.6,Petunjuk Pengisian Tabel Sitasi Dosen,15,,,50
,3.3,3.3.7,Tabel Luaran yang Dihasilkan Mahasiswa,10,,,0
,3.3,3.3.8,Petunjuk Pengisian Tabel Luaran yang Dihasilkan Mahasiswa,10,,,0
,3.3,3.3.9,Petunjuk Pengisian Tabel Luaran yang Dihasilkan Mahasiswa,10,,,0
,3.3,3.3.10,Petunjuk Pengisian Tabel Jumlah Mahasiswa Aktif,10,,,0
